prefecture,region,population_2020,population_2015,population_2010,area_km2,density,capital
北海道,北海道,5224614,5381733,5506419,83424,62.6,札幌市
青森県,東北,1237984,1308265,1373339,9645,128.4,青森市
岩手県,東北,1210534,1279594,1330147,15275,79.3,盛岡市
宮城県,東北,2301996,2333899,2348165,7282,316.1,仙台市
秋田県,東北,959502,1023119,1085997,11638,82.5,秋田市
山形県,東北,1068027,1123891,1168924,9323,114.6,山形市
福島県,東北,1833152,1914039,2029064,13784,133.0,福島市
茨城県,関東,2867009,2916976,2969770,6097,470.3,水戸市
栃木県,関東,1933146,1974255,2007683,6408,301.7,宇都宮市
群馬県,関東,1939110,1973115,2008068,6362,304.8,前橋市
埼玉県,関東,7344765,7266534,7194556,3798,1933.3,さいたま市
千葉県,関東,6284480,6222666,6216289,5157,1218.8,千葉市
東京都,関東,13960000,13515271,13159388,2194,6363.0,新宿区
神奈川県,関東,9237337,9126214,9048331,2416,3823.1,横浜市
新潟県,中部,2201272,2304264,2374450,12584,174.9,新潟市
富山県,中部,1034814,1066328,1093247,4248,243.6,富山市
石川県,中部,1132526,1154008,1169788,4186,270.5,金沢市
福井県,中部,766863,786740,806314,4190,183.0,福井市
山梨県,中部,809974,835165,863075,4465,181.4,甲府市
長野県,中部,2048011,2098804,2152449,13562,151.0,長野市
岐阜県,中部,1978742,2031903,2080773,10621,186.3,岐阜市
静岡県,中部,3633202,3700305,3765007,7777,467.2,静岡市
愛知県,中部,7542415,7483128,7410719,5173,1457.9,名古屋市
三重県,近畿,1770254,1815865,1854724,5774,306.6,津市
滋賀県,近畿,1413610,1412916,1410777,4017,351.9,大津市
京都府,近畿,2578087,2610353,2636092,4612,559.0,京都市
大阪府,近畿,8837685,8839469,8865245,1905,4640.5,大阪市
兵庫県,近畿,5465002,5534800,5588133,8401,650.5,神戸市
奈良県,近畿,1324473,1364316,1400728,3691,358.8,奈良市
和歌山県,近畿,922584,963579,1002198,4725,195.2,和歌山市
鳥取県,中国,553407,573441,588667,3507,157.8,鳥取市
島根県,中国,671126,694352,717397,6708,100.0,松江市
岡山県,中国,1888432,1921525,1945276,7114,265.5,岡山市
広島県,中国,2799702,2843990,2860750,8479,330.2,広島市
山口県,中国,1342059,1404729,1451338,6112,219.6,山口市
徳島県,四国,719559,755733,785491,4147,173.5,徳島市
香川県,四国,950244,976263,995842,1877,506.3,高松市
愛媛県,四国,1334841,1385262,1431493,5676,235.2,松山市
高知県,四国,691527,727557,764456,7104,97.3,高知市
福岡県,九州,5135214,5101556,5071968,4987,1029.7,福岡市
佐賀県,九州,811442,832832,849788,2441,332.4,佐賀市
長崎県,九州,1312317,1377187,1426779,4130,317.7,長崎市
熊本県,九州,1738301,1786170,1817426,7409,234.6,熊本市
大分県,九州,1123852,1166338,1196529,6341,177.2,大分市
宮崎県,九州,1069576,1104069,1135233,7735,138.3,宮崎市
鹿児島県,九州,1588256,1648177,1706242,9188,172.9,鹿児島市
沖縄県,九州,1467480,1433566,1392818,2281,643.3,那覇市
